"","Timestamp","Age","t1","t2","t3","t4","t5","t6","t7","t8","t9","FirstType","FirstEssay","Code","firstNormal","firstFun","FUN_ANS1","FUN_A1","FUN_ANS2","FUN_A2","FUN_ANS3","FUN_A3","FUN_ANS4","FUN_A4","FUN_ANS5","FUN_A5","SAD_ANS1","SAD_A1","SAD_ANS2","SAD_A2","SAD_ANS3","SAD_A3","SAD_ANS4","SAD_A4","SAD_ANS5","SAD_A5","PrimEng","Female","RaceCode","DegreeCode","readTM","readBook","readSci","readMag","readProf","readNone","UsesGlasses","SpritzExp","FUN","SAD","Y","trt","FS"
"66","12/2/2014 1:49:36",62,20394,6578,196622,36976,15571,28187,102632,46337,51747,"Normal","Fun","3x1k6t",1,1,1,2,1,3,1,4,1,1,1,4,1,4,1,3,1,2,1,1,1,2,1,1,6,5,1,1,0,1,1,0,1,0,5,5,5,0,"FUN"
"67","12/2/2014 1:50:03",19,6805,6742,58231,32721,12527,24360,97796,39608,44600,"Normal","Fun","qzzmnn",1,1,0,1,1,3,1,4,1,1,1,4,1,4,1,3,0,1,1,1,1,2,1,0,6,3,1,0,1,1,1,0,0,1,4,4,4,0,"FUN"
"68","12/2/2014 1:50:54",24,17861,9898,65358,46052,15682,23975,99069,36629,44185,"Normal","Fun","5oynro",1,1,1,2,1,3,1,4,1,1,1,4,1,4,0,1,0,1,1,1,1,2,1,0,6,2,0,1,0,0,0,0,0,1,5,3,5,0,"FUN"
"69","12/2/2014 1:51:58",19,5702,3751,64319,51498,16392,22643,96637,48859,49216,"Normal","Fun","u1xcss",1,1,1,2,1,3,1,4,1,1,0,1,1,4,0,2,1,2,1,1,1,2,1,0,6,3,1,0,0,1,1,0,1,1,4,4,4,0,"FUN"
"70","12/2/2014 1:56:13",28,18485,6014,133978,175306,46206,35916,110963,70154,287554,"Normal","Fun","ms77td",1,1,1,2,1,3,1,4,1,1,1,4,1,4,1,3,0,1,1,1,1,2,1,1,4,6,1,1,0,1,1,0,0,0,5,4,5,0,"FUN"
"71","12/2/2014 1:56:27",22,107536,147911,49847,38838,11586,29243,97558,28907,31696,"Normal","Fun","d1mkw9",1,1,0,1,1,3,0,1,1,1,1,4,0,3,1,3,0,1,1,1,0,3,1,0,6,5,1,1,0,1,1,0,0,0,3,2,3,0,"FUN"
"72","12/2/2014 1:57:48",33,16890,17482,220606,105077,43539,30880,99415,112105,73130,"Normal","Fun","lt61jx",1,1,0,1,1,3,1,4,1,1,0,3,1,4,1,3,0,1,0,4,0,4,0,0,1,3,0,0,0,0,0,0,1,0,3,2,3,0,"FUN"
"73","12/2/2014 1:58:36",41,6010,5918,103880,43697,17462,26961,101600,40363,86938,"Normal","Fun","9m6c8s",1,1,1,2,1,3,0,1,1,1,1,4,1,4,1,3,0,1,1,1,1,2,1,1,2,5,1,1,0,1,0,0,1,1,4,4,4,0,"FUN"
"74","12/2/2014 2:02:27",59,17493,7263,109423,40365,29346,11220,5662,71850,40877,"Normal","Fun","69lu6q",1,1,0,1,1,3,1,4,1,1,1,4,0,2,0,1,0,3,0,2,0,4,1,1,6,3,1,0,0,1,1,0,1,0,4,0,4,0,"FUN"
"75","12/2/2014 2:02:53",43,11781,15298,66482,42113,25493,26035,100004,49336,33365,"Normal","Fun","9esa02",1,1,1,2,1,3,1,4,1,1,0,1,1,4,0,1,1,2,0,2,1,2,0,0,6,6,1,1,1,1,1,0,0,1,4,3,4,0,"FUN"
